=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.21 19:42:21 =~=~=~=~=~=~=~=~=~=~=~=
Connected: F1:2C:71:91:F4:9D (random)
[SUBSCRIBED]
311252977 294294 260006 
311252977 294227 260022 
311252977 294228 260054 
311252977 294271 260053 
311252977 294285 260050 
311252977 294197 259996 
311252977 294226 260041 
311252977 294270 260115 
311252977 294262 260031 
311252977 294203 260020 
311252977 294216 259959 
311252977 294138 259961 
311252977 294165 259933 
311252977 294134 259883 
311252977 294134 259873 
311252977 294144 259949 
311252977 294171 259944 
311252977 294125 259926 
311252977 294150 259855 
311252977 294122 259865 
311252977 294057 259835 
311252977 294066 259790 
311252977 294045 259807 
311252977 294095 259839 
311252977 294150 259951 
311252977 294118 259924 
311252977 294059 259836 
311252977 294055 259847 
311252977 294100 259833 
311252977 294100 259778 
311252977 294036 259809 
311252977 294007 259718 
311252977 294028 259785 
311252977 294067 259853 
311252977 294096 259831 
311252977 294043 259781 
311252977 294000 259758 
311252977 294057 259705 
311252977 293985 259725 
311252977 293932 259695 
311252977 293995 259733 
311252977 294010 259785 
311252977 294028 259796 
311252977 294005 259736 
311252977 294014 259726 
311252977 294002 259737 
311252977 293949 259739 
311252977 293947 259682 
311252977 293940 259620 
311252977 293923 259665 
311252977 294000 259773 
311252977 294009 259763 
311252977 294043 259724 
311252977 294002 259663 
311252977 293924 259689 
311252977 293984 259680 
311252977 293951 259642 
311252977 293966 259656 
311252977 293978 259689 
311252977 294060 259817 
311252977 294034 259750 
311252977 294011 259775 
311252977 294021 259741 
311252977 293970 259675 
311252977 293985 259607 
311252977 293891 259517 
311252977 293879 259591 
311252977 293900 259677 
311252977 293951 259654 
311252977 293953 259612 
311252977 293908 259583 
311252977 293883 259596 
311252977 293896 259540 
311252977 293844 259504 
311252977 293786 259465 
311252977 293799 259515 
311252977 293920 259631 
311252977 293872 259562 
311252977 293847 259527 
311252977 293858 259570 
311252977 293879 259583 
311252977 293805 259507 
311252977 293748 259404 
311252977 293666 259399 
311252977 293744 259416 
311252977 293797 259482 
311252977 293783 259459 
311252977 293747 259435 
311252977 293699 259431 
311252977 293778 259399 
311252977 293740 259339 
311252977 293715 259388 
311252977 293677 259306 
311252977 293706 259361 
311252977 293758 259390 
311252977 293762 259379 
311252977 293717 259310 
311252977 293679 259320 
311252977 293694 259335 
311252977 293631 259255 
311252977 293626 259191 
311252977 293641 259256 
311252977 293741 259414 
311252977 293711 259335 
311252977 293648 259313 
311252977 293699 259291 
311252977 293664 259223 
311252977 293639 259266 
311252977 293626 259140 
311252977 293598 259217 
311252977 293731 259321 
311252977 293718 259341 
311252977 293686 259264 
311252977 293663 259216 
311252977 293613 259230 
311252977 293597 259221 
311252977 293584 259193 
311252977 293682 259218 
311252977 293678 259299 
311252977 293685 259331 
311252977 293608 259318 
311252977 293636 259173 
311252977 293621 259256 
311252977 293595 259226 
311252977 293599 259218 
311252977 293518 259090 
311252977 293629 259262 
311252977 293678 259351 
311252977 293641 259275 
311252977 293595 259198 
311252977 293600 259206 
311252977 293570 259223 
311252977 293551 259168 
311252977 293600 259213 
311252977 293679 259218 
311252977 293704 259325 
311252977 293675 259379 
311252977 293719 259365 
311252977 293646 259314 
311252977 293652 259307 
311252977 293650 259286 
311252977 293607 259256 
311252977 293634 259279 
311252977 293658 259397 
311252977 293713 259394 
311252977 293733 259350 
311252977 293708 259325 
311252977 293648 259339 
311252977 293635 259294 
311252977 293665 259306 
311252977 293624 259237 
311252977 293620 259298 
311252977 293748 259438 
311252977 293690 259372 
311252977 293691 259333 
311252977 293693 259323 
311252977 293675 259313 
311252977 293674 259386 
311252977 293655 259341 
311252977 293689 259296 
311252977 293643 259351 
311252977 293805 259425 
311252977 293760 259404 
311252977 293670 259438 
311252977 293710 259370 
311252977 293688 259336 
311252977 293655 259332 
311252977 293671 259324 
311252977 293678 259255 
311252977 293702 259353 
311252977 293701 259401 
311252977 293688 259345 
311252977 293627 259297 
311252977 293631 259324 
311252977 293661 259272 
311252977 293623 259211 
311252977 293583 259204 
311252977 293633 259229 
311252977 293729 259410 
311252977 293696 259327 
311252977 293660 259315 
311252977 293612 259355 
311252977 293652 259299 
311252977 293650 259277 
311252977 293601 259156 
311252977 293629 259268 
311252977 293769 259425 
311252977 293642 259314 
311252977 293703 259296 
311252977 293680 259368 
311252977 293659 259304 
311252977 293672 259308 
311252977 293596 259245 
311252977 293611 259214 
311252977 293651 259295 
311252977 293772 259419 
311252977 293693 259343 
311252977 293616 259331 
311252977 293697 259272 
311252977 293642 259321 
311252977 293656 259317 
311252977 293626 259236 
311252977 293611 259213 
311252977 293645 259274 
311252977 293682 259326 
311252977 293681 259294 
311252977 293628 259251 
311252977 293647 259307 
311252977 293644 259234 
311252977 293586 259223 
311252977 293601 259215 
311252977 293583 259191 
311252977 293686 259254 
311252977 293650 259313 
311252977 293646 259255 
311252977 293577 259183 
311252977 293526 259181 
311252977 293544 259165 
311252977 293521 259109 
311252977 293491 259126 
311252977 293630 259319 
311252977 293576 259294 
311252977 293587 259192 
311252977 293498 259194 
311252977 293502 259165 
311252977 293502 259068 
311252977 293522 259145 
311252977 293572 259265 
311252977 293642 259394 
311252977 293600 259398 
311252977 293539 259296 
311252977 293560 259285 
311252977 293531 259266 
311252977 293495 259240 
311252977 293468 259289 
311252977 293577 259369 
311252977 293563 259383 
311252977 293544 259397 
311252977 293509 259375 
311252977 293584 259365 
311252977 293580 259351 
311252977 293493 259324 
311252977 293586 259460 
311252977 293582 259480 
311252977 293465 259275 
311252977 293425 259284 
311252977 293324 259187 
311252977 293306 259138 
311252977 293396 259232 
311252977 293412 259276 
311252977 293533 259465 
311252977 293612 259478 
311252977 293477 259465 
311252977 293487 259428 
311252977 293442 259382 
311252977 293362 259338 
311252977 293313 259228 
311252977 293236 259170 
311252977 293267 259243 
